head,relation,tail,head_type,tail_type
IL2RB,GPI,P14784,gene,protein
IMPDH2,GPI,P12268,gene,protein
INPPL1,GPI,O15357,gene,protein
INSL3,GPI,P51460,gene,protein
ITGB7,GPI,P26010,gene,protein
JAK3,GPI,P52333,gene,protein
KPNA3,GPI,O00505,gene,protein
KRT9,GPI,P35527,gene,protein
KRT16,GPI,P08779,gene,protein
LAMB3,GPI,Q13751,gene,protein
LCK,GPI,P06239,gene,protein
LEPR,GPI,O15243,gene,protein
LGALS2,GPI,P05162,gene,protein
LOX,GPI,P28300,gene,protein
LRP1,GPI,Q07954,gene,protein
CD180,GPI,Q99467,gene,protein
MEN1,GPI,O00255,gene,protein
MFNG,GPI,O00587,gene,protein
MICB,GPI,Q29980,gene,protein
MMP12,GPI,P39900,gene,protein
MSH2,GPI,P43246,gene,protein
MST1R,GPI,Q04912,gene,protein
MSX1,GPI,P28360,gene,protein
MT1F,GPI,P04733,gene,protein
MT1M,GPI,P13640,gene,protein
MT1X,GPI,P80297,gene,protein
MYO7A,GPI,Q13402,gene,protein
NBL1,GPI,P41271,gene,protein
NDUFB3,GPI,O43676,gene,protein
NDUFS2,GPI,O75306,gene,protein
NDUFV1,GPI,P49821,gene,protein
NFYB,GPI,P25208,gene,protein
NONO,GPI,Q15233,gene,protein
OAS1,GPI,P00973,gene,protein
ODC1,GPI,P11926,gene,protein
PAX5,GPI,Q02548,gene,protein
PDE3A,GPI,Q14432,gene,protein
PDE8A,GPI,O60658,gene,protein
PDHB,GPI,P11177,gene,protein
PEX12,GPI,O00623,gene,protein
PGF,GPI,P49763,gene,protein
PGM3,GPI,O95394,gene,protein
PHF1,GPI,O43189,gene,protein
SERPINB9,GPI,P50453,gene,protein
SERPINB13,GPI,Q9UIV8,gene,protein
PIGA,GPI,P37287,gene,protein
PIGR,GPI,P01833,gene,protein
PNOC,GPI,Q13519,gene,protein
PML,GPI,P29590,gene,protein
POLR2L,GPI,P62875,gene,protein
PPARA,GPI,Q07869,gene,protein
