head,relation,tail,head_type,tail_type,label
323,CGI-U,MCM10,compound,gene,1
323,CGI-U,CXCL5,compound,gene,1
323,CGI-U,DPF1,compound,gene,1
323,CGI-U,CXCL2,compound,gene,1
323,CGI-U,NOTCH1,compound,gene,1
323,CGI-U,PDLIM5,compound,gene,1
323,CGI-U,ARHGAP4,compound,gene,1
323,CGI-U,TTTY15,compound,gene,1
323,CGI-D,NPTX2,compound,gene,2
323,CGI-D,VAT1,compound,gene,2
323,CGI-D,ATRN,compound,gene,2
323,CGI-D,CDH5,compound,gene,2
323,CGI-D,KRT18,compound,gene,2
323,CGI-D,CSNK1E,compound,gene,2
323,CGI-D,CIAO2B,compound,gene,2
323,CGI-D,TRIB3,compound,gene,2
323,CGI-D,ESR1,compound,gene,2
370,CGI-U,TMEM222,compound,gene,1
370,CGI-U,POLDIP3,compound,gene,1
370,CGI-U,SETD1B,compound,gene,1
370,CGI-U,SCO2,compound,gene,1
370,CGI-U,URGCP,compound,gene,1
370,CGI-U,GDPD5,compound,gene,1
370,CGI-U,TMEM204,compound,gene,1
370,CGI-U,PLEKHO2,compound,gene,1
370,CGI-U,TK1,compound,gene,1
370,CGI-U,SLC24A3,compound,gene,1
370,CGI-U,RIMS1,compound,gene,1
370,CGI-D,DCTN4,compound,gene,2
370,CGI-D,MPPED2,compound,gene,2
370,CGI-D,RUBCNL,compound,gene,2
370,CGI-D,ELAPOR1,compound,gene,2
370,CGI-D,VGLL4,compound,gene,2
370,CGI-D,L3MBTL1,compound,gene,2
370,CGI-D,RAPGEF2,compound,gene,2
370,CGI-D,PANX1,compound,gene,2
370,CGI-D,TNFAIP6,compound,gene,2
370,CGI-D,RBM41,compound,gene,2
370,CGI-D,MCOLN3,compound,gene,2
370,CGI-D,CASP9,compound,gene,2
370,CGI-D,RNF6,compound,gene,2
370,CGI-D,TMEM38B,compound,gene,2
412,CGI-U,FSD1,compound,gene,1
412,CGI-U,FAM193B,compound,gene,1
412,CGI-U,CDK12,compound,gene,1
412,CGI-U,CYTH4,compound,gene,1
412,CGI-U,ANKRD40,compound,gene,1
412,CGI-U,CTNNA2,compound,gene,1
412,CGI-D,GDF15,compound,gene,2
412,CGI-D,USP1,compound,gene,2
412,CGI-D,UGDH,compound,gene,2
412,CGI-D,FLII,compound,gene,2
412,CGI-D,GSTM3,compound,gene,2
412,CGI-D,IDE,compound,gene,2
412,CGI-D,COLEC11,compound,gene,2
412,CGI-D,PLPBP,compound,gene,2
444,CGI-U,PLSCR1,compound,gene,1
444,CGI-U,HP,compound,gene,1
444,CGI-U,PCDHA3,compound,gene,1
444,CGI-U,CEP57,compound,gene,1
444,CGI-U,IKBKE,compound,gene,1
444,CGI-U,ERBB3,compound,gene,1
444,CGI-U,HLA-DRA,compound,gene,1
444,CGI-U,HDAC7,compound,gene,1
444,CGI-U,ATP6V0A4,compound,gene,1
444,CGI-U,H2BC21,compound,gene,1
444,CGI-D,CCNB1,compound,gene,2
444,CGI-D,ACAT2,compound,gene,2
444,CGI-D,CLTB,compound,gene,2
444,CGI-D,HMGCS1,compound,gene,2
444,CGI-D,NIPSNAP1,compound,gene,2
444,CGI-D,PREB,compound,gene,2
444,CGI-D,DYNLT3,compound,gene,2
460,CGI-U,ABHD6,compound,gene,1
460,CGI-U,BCL2,compound,gene,1
460,CGI-U,TXLNA,compound,gene,1
460,CGI-U,SORBS3,compound,gene,1
460,CGI-U,ABHD18,compound,gene,1
460,CGI-U,MPPE1,compound,gene,1
460,CGI-U,PDCD4,compound,gene,1
460,CGI-U,RNF2,compound,gene,1
460,CGI-U,UBE2Z,compound,gene,1
460,CGI-D,TCEA2,compound,gene,2
460,CGI-D,B4GALT3,compound,gene,2
460,CGI-D,MED20,compound,gene,2
