UniprotID	Gene_symbol
Q96BR1	SGK3
Q96S44	TP53RK
O00750	PIK3C2B
O43193	MLNR
Q9NS87	KIF15
Q9BXA7	TSSK1B
P06401	PGR
O60563	CCNT1
Q9BXA6	TSSK6
Q8NEV1	CSNK2A3
Q13237	PRKG2
Q9H2X6	HIPK2
Q15208	STK38
P41595	HTR2B
P22612	PRKACG
Q13976	PRKG1
Q9BUB5	MKNK1
P29274	ADORA2A
Q9UPE1	SRPK3
O96017	CHEK2
P0C1S8	WEE2
Q6P2M8	PNCK
P68400	CSNK2A1
Q9H422	HIPK3
Q99755	PIP5K1A
Q58F21	BRDT
P30531	SLC6A1
P51956	NEK3
P51957	NEK4
P21554	CNR1
Q99558	MAP3K14
P24903	CYP2F1
Q9H773	DCTPP1
Q14432	PDE3A
O14730	RIOK3
Q9HBH9	MKNK2
O15357	INPPL1
P08172	CHRM2
P42356	PI4KA
O15054	KDM6B
Q9UIK4	DAPK2
Q9NSD5	SLC6A13
Q52WX2	SBK1
Q9UBF8	PI4KB
Q8IWQ3	BRSK2
P04798	CYP1A1
P29376	LTK
Q9NRH2	SNRK
Q8NEV4	MYO3A
P48736	PIK3CG
Q14012	CAMK1
Q13523	PRP4K
P15692	VEGFA
Q07973	CYP24A1
Q86TW2	ADCK1
O95342	ABCB11
P20813	CYP2B6
P30542	ADORA1
O60841	EIF5B
O94768	STK17B
Q8NG66	NEK11
P78527	PRKDC
Q99808	SLC29A1
Q08493	PDE4C
Q96PN8	TSSK3
Q9UGJ0	PRKAG2
O75909	CCNK
Q8TCG2	PI4K2B
Q9NR20	DYRK4
P48066	SLC6A11
Q6ZN16	MAP3K15
P25021	HRH2
Q709F0	ACAD11
Q8NE63	HIPK4
O15075	DCLK1
Q9H792	PEAK1
Q99986	VRK1
P07550	ADRB2
Q9Y5N1	HRH3
Q92847	GHSR
P57058	HUNK
P22694	PRKACB
O75956	CDK2AP2
Q8N568	DCLK2
Q6XUX3	DSTYK
P08183	ABCB1
P08908	HTR1A
Q8WXR4	MYO3B
Q86YV6	MYLK4
P14416	DRD2
P09038	FGF2
Q09013	DMPK
P15559	NQO1
Q8IY84	NIM1K
Q9NRP7	STK36
Q9NWH9	SLTM
Q16696	CYP2A13
Q9UBN7	HDAC6
Q8NFD2	ANKK1
Q9H252	KCNH6
P18089	ADRA2B
Q8IU85	CAMK1D
Q9UEE5	STK17A
P13500	CCL2
Q9UGI9	PRKAG3
P57078	RIPK4
Q9Y2I1	NISCH
P35367	HRH1
P53355	DAPK1
